,accession,tax_id,organism,scientific_name,taxonomy,lineage,division,error
ABE27019.1,ABE27019.1,378830,Lake Victoria marburgvirus - Angola2005,Lake Victoria marburgvirus - Angola2005,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27026.1,ABE27026.1,378830,Lake Victoria marburgvirus - Angola2005,Lake Victoria marburgvirus - Angola2005,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27033.1,ABE27033.1,378830,Lake Victoria marburgvirus - Angola2005,Lake Victoria marburgvirus - Angola2005,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27040.1,ABE27040.1,378830,Lake Victoria marburgvirus - Angola2005,Lake Victoria marburgvirus - Angola2005,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27047.1,ABE27047.1,378830,Lake Victoria marburgvirus - Angola2005,Lake Victoria marburgvirus - Angola2005,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27054.1,ABE27054.1,378830,Lake Victoria marburgvirus - Angola2005,Lake Victoria marburgvirus - Angola2005,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27061.1,ABE27061.1,378830,Lake Victoria marburgvirus - Angola2005,Lake Victoria marburgvirus - Angola2005,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27068.1,ABE27068.1,378809,"Ravn virus - Ravn, Kenya, 1987","Ravn virus - Ravn, Kenya, 1987",Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27075.1,ABE27075.1,378831,Lake Victoria marburgvirus - DRC1999,Lake Victoria marburgvirus - DRC1999,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27082.1,ABE27082.1,378831,Lake Victoria marburgvirus - DRC1999,Lake Victoria marburgvirus - DRC1999,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABE27089.1,ABE27089.1,378831,Lake Victoria marburgvirus - DRC1999,Lake Victoria marburgvirus - DRC1999,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABS17548.1,ABS17548.1,378809,"Ravn virus - Ravn, Kenya, 1987","Ravn virus - Ravn, Kenya, 1987",Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABS17555.1,ABS17555.1,448086,Lake Victoria marburgvirus - Ci67,Lake Victoria marburgvirus - Ci67,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
YP_001531153.1,YP_001531153.1,33727,"Marburg virus - Musoke, Kenya, 1980","Marburg virus - Musoke, Kenya, 1980",Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ABX75364.1,ABX75364.1,186538,Zaire ebolavirus,Zaire ebolavirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus zairense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus zairense,VRL,
ABY75321.1,ABY75321.1,186540,Sudan ebolavirus,Sudan ebolavirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus sudanense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus sudanense,VRL,
ACD13002.1,ACD13002.1,378809,"Ravn virus - Ravn, Kenya, 1987","Ravn virus - Ravn, Kenya, 1987",Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ACD13009.1,ACD13009.1,378809,"Ravn virus - Ravn, Kenya, 1987","Ravn virus - Ravn, Kenya, 1987",Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ACD13016.1,ACD13016.1,378809,"Ravn virus - Ravn, Kenya, 1987","Ravn virus - Ravn, Kenya, 1987",Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
ACI28620.1,ACI28620.1,565995,Bundibugyo virus,Bundibugyo virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus bundibugyoense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus bundibugyoense,VRL,
ACR33187.1,ACR33187.1,186540,Sudan ebolavirus,Sudan ebolavirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus sudanense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus sudanense,VRL,
ACT22784.1,ACT22784.1,129003,Reston ebolavirus - Reston,Reston ebolavirus - Reston,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus restonense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus restonense,VRL,
ACT22792.1,ACT22792.1,129003,Reston ebolavirus - Reston,Reston ebolavirus - Reston,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus restonense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus restonense,VRL,
ACT22807.1,ACT22807.1,129003,Reston ebolavirus - Reston,Reston ebolavirus - Reston,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus restonense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus restonense,VRL,
ACT79198.1,ACT79198.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
ACT79205.1,ACT79205.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
ACT79212.1,ACT79212.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
ACT79219.1,ACT79219.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
ACT79226.1,ACT79226.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
ACT79233.1,ACT79233.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
ACT79240.1,ACT79240.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
YP_003815423.1,YP_003815423.1,186541,Tai Forest ebolavirus,Tai Forest ebolavirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus taiense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus taiense,VRL,
YP_003815432.1,YP_003815432.1,565995,Bundibugyo virus,Bundibugyo virus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus bundibugyoense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus bundibugyoense,VRL,
ADM72981.1,ADM72981.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
ADM72988.1,ADM72988.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
ADM72995.1,ADM72995.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
AER23671.1,AER23671.1,3052148,Cuevavirus lloviuense,Cuevavirus lloviuense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Cuevavirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Cuevavirus,VRL,
AER59705.1,AER59705.1,186538,Zaire ebolavirus,Zaire ebolavirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus zairense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus zairense,VRL,
AER59714.1,AER59714.1,186538,Zaire ebolavirus,Zaire ebolavirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus zairense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus zairense,VRL,
YP_004928135.1,YP_004928135.1,3052148,Cuevavirus lloviuense,Cuevavirus lloviuense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Cuevavirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Cuevavirus,VRL,
AEW11935.1,AEW11935.1,1126254,Lake Victoria marburgvirus - Leiden,Lake Victoria marburgvirus - Leiden,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus; Orthomarburgvirus marburgense,VRL,
AFP28224.1,AFP28224.1,1216927,Sudan ebolavirus - Nakisamata,Sudan ebolavirus - Nakisamata,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus sudanense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthoebolavirus; Orthoebolavirus sudanense,VRL,
AFV31137.1,AFV31137.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
AFV31150.1,AFV31150.1,3052505,Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus,VRL,
